lon,lat,age (Ma),label,source
-111.07,31.98,58.0,positive,Diaz-Rodriguez et al. 2021
-109.03,27.0,58.0,positive,Diaz-Rodriguez et al. 2021
-108.23,26.72,58.0,positive,Diaz-Rodriguez et al. 2021
-111.03,31.88,58.0,positive,Diaz-Rodriguez et al. 2021
-108.08,32.85,59.0,positive,Diaz-Rodriguez et al. 2021
-110.32,30.95,59.0,positive,Diaz-Rodriguez et al. 2021
-110.45,31.12,59.0,positive,Diaz-Rodriguez et al. 2021
-110.18,30.85,59.0,positive,Diaz-Rodriguez et al. 2021
-110.28,31.0,59.0,positive,Diaz-Rodriguez et al. 2021
-110.95,33.4,59.0,positive,Diaz-Rodriguez et al. 2021
-111.22,33.04,60.0,positive,Diaz-Rodriguez et al. 2021
-110.72,31.49,60.0,positive,Diaz-Rodriguez et al. 2021
-111.0,33.38,60.0,positive,Diaz-Rodriguez et al. 2021
-106.1,23.6,60.0,positive,Diaz-Rodriguez et al. 2021
-110.74,33.42,60.0,positive,Diaz-Rodriguez et al. 2021
-109.02,27.17,60.0,positive,Diaz-Rodriguez et al. 2021
-110.97,33.16,61.0,positive,Diaz-Rodriguez et al. 2021
-109.46,30.41,61.0,positive,Diaz-Rodriguez et al. 2021
-110.94,33.33,61.0,positive,Diaz-Rodriguez et al. 2021
-110.9,33.34,61.0,positive,Diaz-Rodriguez et al. 2021
-121.42,50.92,61.0,positive,Diaz-Rodriguez et al. 2021
-104.4,29.81,61.0,positive,Diaz-Rodriguez et al. 2021
-110.76,31.83,62.0,positive,Diaz-Rodriguez et al. 2021
-110.42,31.06,62.0,positive,Diaz-Rodriguez et al. 2021
-111.43,33.04,62.0,positive,Diaz-Rodriguez et al. 2021
-111.42,33.12,62.0,positive,Diaz-Rodriguez et al. 2021
-111.8,32.96,63.0,positive,Diaz-Rodriguez et al. 2021
-112.85,32.36,63.0,positive,Diaz-Rodriguez et al. 2021
-124.49,51.22,63.0,positive,Diaz-Rodriguez et al. 2021
-110.43,31.04,63.0,positive,Diaz-Rodriguez et al. 2021
-108.08,32.85,64.0,positive,Diaz-Rodriguez et al. 2021
-110.45,31.12,64.0,positive,Diaz-Rodriguez et al. 2021
-110.73,33.07,64.0,positive,Diaz-Rodriguez et al. 2021
-110.88,33.41,64.0,positive,Diaz-Rodriguez et al. 2021
-111.05,33.29,64.0,positive,Diaz-Rodriguez et al. 2021
-100.98,21.82,64.0,positive,Diaz-Rodriguez et al. 2021
-112.58,34.51,64.0,positive,Diaz-Rodriguez et al. 2021
-111.22,33.04,65.0,positive,Diaz-Rodriguez et al. 2021
-112.53,46.02,65.0,positive,Diaz-Rodriguez et al. 2021
-111.95,32.87,66.0,positive,Diaz-Rodriguez et al. 2021
-108.12,27.02,66.0,positive,Diaz-Rodriguez et al. 2021
-111.88,32.52,66.0,positive,Diaz-Rodriguez et al. 2021
-111.5,32.4,68.0,positive,Diaz-Rodriguez et al. 2021
-110.68,32.7,68.0,positive,Diaz-Rodriguez et al. 2021
-110.67,32.67,68.0,positive,Diaz-Rodriguez et al. 2021
-140.74,64.0,68.0,positive,Diaz-Rodriguez et al. 2021
-141.32,63.52,68.0,positive,Diaz-Rodriguez et al. 2021
-139.12,63.48,68.0,positive,Diaz-Rodriguez et al. 2021
-108.08,32.85,69.0,positive,Diaz-Rodriguez et al. 2021
-137.81,62.45,69.0,positive,Diaz-Rodriguez et al. 2021
-120.71,50.34,69.0,positive,Diaz-Rodriguez et al. 2021
-111.22,33.04,70.0,positive,Diaz-Rodriguez et al. 2021
-133.75,60.99,70.0,positive,Diaz-Rodriguez et al. 2021
-112.17,30.72,70.0,positive,Diaz-Rodriguez et al. 2021
-140.42,64.19,70.0,positive,Diaz-Rodriguez et al. 2021
-140.35,64.33,70.0,positive,Diaz-Rodriguez et al. 2021
-133.41,59.71,70.0,positive,Diaz-Rodriguez et al. 2021
-127.28,54.83,70.0,positive,Diaz-Rodriguez et al. 2021
-111.58,33.11,70.0,positive,Diaz-Rodriguez et al. 2021
-138.45,62.67,70.0,positive,Diaz-Rodriguez et al. 2021
-137.94,62.56,70.0,positive,Diaz-Rodriguez et al. 2021
-125.27,53.33,70.0,positive,Diaz-Rodriguez et al. 2021
-111.95,32.87,71.0,positive,Diaz-Rodriguez et al. 2021
-143.47,63.89,71.0,positive,Diaz-Rodriguez et al. 2021
-113.17,34.58,71.0,positive,Diaz-Rodriguez et al. 2021
-141.46,63.64,72.0,positive,Diaz-Rodriguez et al. 2021
-137.2,62.09,72.0,positive,Diaz-Rodriguez et al. 2021
-114.15,35.37,73.0,positive,Diaz-Rodriguez et al. 2021
-138.84,62.74,74.0,positive,Diaz-Rodriguez et al. 2021
-110.65,31.19,74.0,positive,Diaz-Rodriguez et al. 2021
-110.46,31.77,74.0,positive,Diaz-Rodriguez et al. 2021
-133.75,60.99,75.0,positive,Diaz-Rodriguez et al. 2021
-138.02,62.65,75.0,positive,Diaz-Rodriguez et al. 2021
-108.12,32.81,75.0,positive,Diaz-Rodriguez et al. 2021
-157.05,64.13,75.0,positive,Diaz-Rodriguez et al. 2021
-137.3,62.64,76.0,positive,Diaz-Rodriguez et al. 2021
-137.19,62.08,76.0,positive,Diaz-Rodriguez et al. 2021
-137.33,62.34,76.0,positive,Diaz-Rodriguez et al. 2021
-137.2,62.61,76.0,positive,Diaz-Rodriguez et al. 2021
-137.27,62.33,77.0,positive,Diaz-Rodriguez et al. 2021
